EnsembleID,symbol,log2FoldChange,pvalue,padj,Regulation
ENSG00000225217.1,HSPA7,1.57356130918269,2.79875191618189e-06,0.0001180308484531,Upregulated
ENSG00000141232.4,TOB1,0.806860966293051,2.81491211851466e-06,0.0001184487602395,Upregulated
ENSG00000203711.6,C6orf99,1.37176169861816,2.82746015599938e-06,0.0001187068361757,Upregulated
ENSG00000089356.12,FXYD3,1.04028120222444,2.84888966762015e-06,0.0001192266354321,Upregulated
ENSG00000242574.4,HLA-DMB,1.26574662160315,2.84778734799206e-06,0.0001192266354321,Upregulated
ENSG00000105939.8,ZC3HAV1,0.683304766015191,2.86436169782937e-06,0.0001193639866571,Upregulated
ENSG00000186951.12,PPARA,0.76013123532666,2.92517310618561e-06,0.0001215374808186,Upregulated
ENSG00000078401.6,EDN1,1.09435686473469,2.94729349515747e-06,0.0001222756756255,Upregulated
ENSG00000079335.13,CDC14A,1.01771161805191,3.0049542875248e-06,0.0001244839986337,Upregulated
ENSG00000230316.2,FEZF1-AS1,1.48975981354127,3.01156268068927e-06,0.0001245346108875,Upregulated
ENSG00000173451.2,THAP2,0.70847337344243,3.06593222598768e-06,0.000126080290529,Upregulated
ENSG00000196569.7,LAMA2,0.6548124619884,3.087505705873e-06,0.0001267818315217,Upregulated
ENSG00000134755.10,DSC2,1.01600290179508,3.15512292486127e-06,0.000129369251957,Upregulated
ENSG00000101974.10,ATP11C,0.869312441594652,3.17108614535195e-06,0.0001298342515517,Upregulated
ENSG00000159399.5,HK2,1.12478100144597,3.19214560029029e-06,0.0001305062496002,Upregulated
ENSG00000261829.1,RP11-223I10.1,1.03821463483932,3.20722938243617e-06,0.0001309323425355,Upregulated
ENSG00000129654.7,FOXJ1,1.36954848926141,3.22908906811443e-06,0.0001315974123876,Upregulated
ENSG00000187720.10,THSD4,1.2485757645554,3.26128200279818e-06,0.0001325609661542,Upregulated
ENSG00000101608.6,MYL12A,0.79839777284728,3.28683637012487e-06,0.000133406608566,Upregulated
ENSG00000152229.14,PSTPIP2,1.02147879791788,3.33035668154527e-06,0.0001347834699057,Upregulated
ENSG00000144891.13,AGTR1,1.76238950137566,3.40385619316307e-06,0.0001371651490636,Upregulated
ENSG00000204287.9,HLA-DRA,1.29912202477421,3.42841214864479e-06,0.0001379567507435,Upregulated
